개설대학,개설학과,교과목번호,강좌번호,교과목명,부제명,수업교시,"강의실(동-호)(#연건, *평창)",수강신청인원
인문대학,철학과,031.033,1,논리와 비판적 사고, ,금(14:00~16:50),006-105,33
인문대학,철학과,031.033,2,논리와 비판적 사고, ,금(10:00~12:50),006-105,41
인문대학,철학과,031.033,3,논리와 비판적 사고, ,월(12:30~13:45)/수(12:30~13:45),006-106/006-106,33
인문대학,철학과,031.033,4,논리와 비판적 사고, ,월(14:00~15:15)/수(14:00~15:15),007-203/007-203,25
인문대학,중어중문학과,032.005,1,초급한문 1, ,월(09:30~10:45)/수(09:30~10:45),001-207/001-207,32
인문대학,중어중문학과,032.005,2,초급한문 1, ,월(11:00~12:15)/수(11:00~12:15),001-101/001-101,40
인문대학,중어중문학과,032.005,3,초급한문 1, ,월(14:00~15:15)/수(14:00~15:15),008-302/008-302,37
인문대학,중어중문학과,032.005,4,초급한문 1, ,월(15:30~16:45)/수(15:30~16:45),007-201/007-201,27
인문대학,중어중문학과,032.005,5,초급한문 1, ,화(09:30~10:45)/목(09:30~10:45),008-301/008-301,49
인문대학,중어중문학과,032.005,6,초급한문 1, ,화(12:30~13:45)/목(12:30~13:45),083-202/083-202,44
인문대학,중어중문학과,032.006,1,초급한문 2, ,화(14:00~15:15)/목(14:00~15:15),003-116/003-116,38
인문대학,협동과정  서양고전학전공,032.079,1,라틴어 1, ,월(12:30~13:45)/수(12:30~13:45),014-204/014-204,45
인문대학,협동과정  서양고전학전공,032.079,2,라틴어 1, ,월(11:00~12:15)/수(11:00~12:15),007-201/007-201,40
인문대학,협동과정  서양고전학전공,032.079,3,라틴어 1, ,화(09:30~10:45)/목(09:30~10:45),007-203/007-203,40
자연과학대학,수리과학부,033.001,1,수학 및 연습 1, ,월(13:00~13:50)/수(13:00~13:50)/금(13:00~14:50)/금(13:00~14:50),024-209/024-209/500-L304/500-L303,52
자연과학대학,수리과학부,033.002,1,수학 및 연습 2, ,월(11:00~11:50)/수(11:00~11:50)/금(11:00~12:50)/금(11:00~12:50),025-109/025-109/024-113/024-112,46
