,월,화,수,목,금
9000915,,,,x,
9150930,,,,x,
9300945,5,,5,x,
9451000,5,,5,x,
10001015,5,83,5,x,
10151030,5,83,5,x,
10301045,5,83,5,x,
10451100,,83,,x,
11001115,8,83,8,x,8
11151130,8,83,8,x,8
11301145,8,83,8,x,8
11451200,8,,8,x,8
12001215,8,83,8,x,8
12151230,,83,,x,8
12301245,,83,,x,8
12451300,,83,,x,
13001315,,83,,x,
13151330,,83,,x,
13301345,,83,,x,
13451400,,,,x,
14001415,,,,x,x
14151430,,,,x,x
14301445,,,,x,x
14451500,,,,x,x
15001515,,,,x,x
15151530,,,,x,x
15301545,1,16,1,x,x
15451600,1,16,1,x,x
16001615,1,16,1,x,x
16151630,1,16,1,x,x
16301645,1,16,1,x,x
16451700,,16,,x,x
17001715,6,16,6,x,x
17151730,6,16,6,x,x
17301745,6,16,6,x,x
17451800,6,16,6,x,x
